Idade,Juros,Classe,Genero,ValorEmprestimo,ValorFinal,QtdParcelas,ValorParcela,MotivoEmprestimo
18,859.52,Jovem,0,1000.0,1859.52,12,154.96,Nao informado
18,593.36,Jovem,1,1000.0,1593.36,8,199.17,Pagar cartao de Credito
18,593.36,Jovem,0,1000.0,1593.36,8,199.17,Nao informado
18,1547.04,Jovem,1,1800.0,3347.04,12,278.92,Nao informado
18,429.76,Jovem,0,500.0,929.76,12,77.48,Dinheiro Extra
19,1031.4,Jovem,1,1200.0,2231.4,12,185.95,Outros
19,1719.04,Jovem,0,2000.0,3719.04,12,309.92,Outros
19,296.72,Jovem,1,500.0,796.72,8,99.59,Outros
19,245.55,Jovem,0,600.0,845.55,5,169.11,Outros
19,2148.68,Jovem,1,2500.0,4648.68,12,387.39,Pagar cartao de Credito
19,516.04,Jovem,0,1100.0,1616.04,6,269.34,Nao informado
19,147.01,Jovem,1,500.0,647.01,3,215.67,Contas
19,258.02,Jovem,1,550.0,808.02,6,134.67,Nao informado
19,687.64,Jovem,0,800.0,1487.64,12,123.97,Outros
19,945.4,Jovem,1,1100.0,2045.4,12,170.45,Nao informado
20,245.6,Adulto,1,700.0,945.6,4,236.4,Pagar cartao de Credito
20,3437.96,Adulto,0,4000.0,7437.96,12,619.83,Dinheiro Extra
20,205.82,Adulto,1,700.0,905.82,3,301.94,Tirar Habilitacao
20,530.48,Adulto,1,1000.0,1530.48,7,218.64,Nao informado
21,429.76,Adulto,1,500.0,929.76,12,77.48,Pagar cartao de Credito
21,296.72,Adulto,1,500.0,796.72,8,99.59,Outros
21,1418.16,Adulto,1,1650.0,3068.16,12,255.68,Outros
21,516.04,Adulto,1,1100.0,1616.04,6,269.34,Nao informado
21,516.04,Adulto,1,1100.0,1616.04,6,269.34,Nao informado
21,147.01,Adulto,1,500.0,647.01,3,215.67,Outros
22,2277.68,Adulto,1,2650.0,4927.68,12,410.64,Dinheiro Extra
22,147.01,Adulto,1,500.0,647.01,3,215.67,Pagar cartao de Credito
22,988.4,Adulto,1,1150.0,2138.4,12,178.2,Outros
22,469.1,Adulto,1,1000.0,1469.1,6,244.85,Nao informado
22,147.01,Adulto,1,500.0,647.01,3,215.67,Dinheiro Extra
23,3094.2,Adulto,1,3600.0,6694.2,12,557.85,Pagar cartao de Credito
23,532.0,Adulto,1,1300.0,1832.0,5,366.4,Outros
23,515.64,Adulto,1,600.0,1115.64,12,92.97,Nao informado
23,583.57,Adulto,1,1100.0,1683.57,7,240.51,Nao informado
23,1847.92,Adulto,1,2150.0,3997.92,12,333.16,Outros
23,350.84,Adulto,1,1000.0,1350.84,4,337.71,Outros
23,1719.04,Adulto,1,2000.0,3719.04,12,309.92,Dinheiro Extra
23,204.6,Adulto,1,500.0,704.6,5,140.92,Contas
23,1332.16,Adulto,1,1550.0,2882.16,12,240.18,Nao informado
23,613.85,Adulto,1,1500.0,2113.85,5,422.77,Outros
23,859.52,Adulto,1,1000.0,1859.52,12,154.96,Nao informado
23,2121.99,Adulto,1,4000.0,6121.99,7,874.57,Pagar cartao de Credito
24,1719.04,Adulto,1,2000.0,3719.04,12,309.92,Outros
24,723.6,Adulto,1,1000.0,1723.6,10,172.36,Outros
24,859.52,Adulto,1,1000.0,1859.52,12,154.96,Nao informado
24,1418.16,Adulto,1,1650.0,3068.16,12,255.68,Dinheiro Extra
24,516.04,Adulto,0,1100.0,1616.04,6,269.34,Nao informado
24,2320.68,Adulto,0,2700.0,5020.68,12,418.39,Nao informado
24,1085.4,Adulto,0,1500.0,2585.4,10,258.54,Dinheiro Extra
24,1289.28,Adulto,0,1500.0,2789.28,12,232.44,Pagar cartao de Credito
24,147.01,Adulto,0,500.0,647.01,3,215.67,Dinheiro Extra
24,1031.4,Adulto,0,1200.0,2231.4,12,185.95,Nao informado
24,1719.04,Adulto,0,2000.0,3719.04,12,309.92,Pagar cartao de Credito
24,2492.56,Adulto,0,2900.0,5392.56,12,449.38,Outros
24,859.52,Adulto,0,1000.0,1859.52,12,154.96,Outros
24,434.1,Adulto,0,600.0,1034.1,10,103.41,Pagar cartao de Credito
