Estado,Ano,ImpostoSobreProduto,Pib,RendaPerCapita,RendimentoMedio,TaxaDesemprego,TotalAdmissao,TotalDemissao,TaxaInadimplencia,QtdInadimplentes,TotalHomem,TotalMulher,H_0 a 1,H_1 a 4,H_5 a 9,H_10 a 14,H_15 a 19,H_20 a 29,H_30 a 39,H_40 a 49,H_50 a 59,H_60 a 69,H_70 a 79,H_80 +,M_0 a 1,M_1 a 4,M_5 a 9,M_10 a 14,M_15 a 19,M_20 a 29,M_30 a 39,M_40 a 49,M_50 a 59,M_60 a 69,M_70 a 79,M_80 +,Automovel,Caminhao,CaminhaoTrator,Caminhonete,Camioneta,Ciclomotor,Microonibus,Motocicleta,Motoneta
Acre,2016,1254238,13751000,761.0,1791.5,0.109,22296,25190,0.49060000000000004,240126,409245,407680,7128,31644,44640,48948,40365,77094,62200,41876,27766,15845,7831,3908,6832,30214,41950,47699,40943,77950,63693,42151,28283,16122,7968,3875,80355,6968,808,24114,4046,498,351,105766,22189
Alagoas,2016,4714078,49456000,662.0,1460.25,0.141,107328,117977,0.40259999999999996,876146,1598884,1815425,408,14085,59128,107939,65813,362877,285848,287467,190275,134799,70162,20083,3937,12543,55885,119905,84617,383505,368066,301148,217806,134272,91961,41780,325193,20542,2278,49455,19372,536,6201,258885,36682
Amapa,2016,873510,14339000,881.0,2232.25,0.155,17012,20874,0.5719,270063,391252,391194,7156,29232,40439,46027,41437,77320,61169,41758,25831,12590,6092,2201,7227,27603,38825,45175,41118,79352,63988,40884,24901,12415,6602,3104,74262,4027,305,19799,4206,935,463,59562,11578
Amazonas,2016,13131286,89017000,739.0,1778.25,0.136,119208,139142,0.5107,1237813,2015787,1987142,36721,147644,205289,228647,196353,386525,317866,222700,146391,75695,36329,15627,35613,142303,195430,220348,194387,384352,320089,213357,144093,76326,40289,20555,366482,19851,2998,81744,26951,1915,3481,233300,52096
Bahia,2016,30409629,258649000,773.0,1470.25,0.159,538733,608137,0.3768,3955412,7412368,8235505,54737,250288,458759,537685,431528,1408102,1346777,1142560,815701,523871,299553,142807,43515,226017,378585,598367,506729,1487854,1402617,1210756,911560,541933,743869,183703,1684719,115164,19963,320768,104347,6088,27365,1206652,174850
Ceara,2016,16622314,138379000,751.0,1435.5,0.12,386494,423395,0.36719999999999997,2238629,4367027,4599100,56950,231443,322531,428358,433049,851606,654511,567779,359204,248375,136956,76265,55257,221592,310299,408991,426913,872613,692338,614501,421455,288987,179030,107124,1056521,70450,7884,177742,56382,4299,11488,1282954,150790
Distrito Federal,2016,29145585,235497000,2351.0,4215.5,0.12,240916,269443,0.4303,911118,1423046,1554242,17510,73180,106290,122558,109763,280049,265804,205579,128882,67633,33949,11849,17392,71235,102122,118142,107380,295036,299598,231401,158744,88808,44276,20108,1214589,23502,3175,116691,77623,1198,5501,176768,17748
Espirito Santo,2016,17036188,109227000,1157.0,2150.5,0.122,284546,322681,0.4275,1219551,1957641,2017126,26150,100844,145047,168180,155938,374299,319460,259694,209622,114538,58876,24993,23908,100162,138762,163141,150999,371596,331786,269574,227127,128228,72699,39144,900623,70884,17086,153515,53722,1440,7873,421358,99461
Goias,2016,19652312,181692000,1140.0,2115.0,0.105,531215,558260,0.3385,1981072,3322502,3375638,42419,179620,258980,302759,277272,625452,582162,453204,303472,178380,85489,33293,43398,174071,252765,285792,274620,619876,594622,466298,328206,193212,100708,42070,1729629,108585,28452,328183,89213,25642,9232,832876,259973
Maranhao,2016,9401666,85286000,575.0,1182.75,0.11900000000000001,136566,157200,0.3969,1731657,3454823,3502775,57061,256918,343819,367594,340525,680481,490851,354770,253575,169031,98532,41666,56969,249044,328494,353814,335230,690450,507761,377380,278511,172421,102962,49739,398265,38994,4140,106306,21868,10216,4652,781186,142653
Mato Grosso,2016,11965238,123834000,1139.0,2218.5,0.094,337662,358166,0.4485,1018930,1669524,1623924,22364,97188,125213,141716,141548,312268,277543,240687,159189,89412,46402,15994,23886,94655,117595,137152,141646,298051,281691,228073,155183,85962,42432,17598,651065,67896,29552,196586,37337,7384,3410,577776,202532
Mato Grosso do Sul,2016,9225091,91866000,1283.0,2201.25,0.077,222144,224566,0.40259999999999996,750031,1325110,1349431,19301,74407,96801,114973,116835,241574,204538,183614,135700,77388,42851,17128,19355,71472,91746,111233,114441,237855,216572,192444,143746,83099,46173,21295,677021,49759,15385,145541,36233,3320,3613,349551,103349
Minas Gerais,2016,66337716,544634000,1168.0,2025.25,0.111,1591099,1714866,0.36719999999999997,5578627,10290481,10713624,98887,396108,593537,812392,817902,1884453,1599816,1521048,1257616,736939,403416,168367,95218,375475,591348,792776,802261,1849740,1632759,1605272,1368494,814269,515824,270188,5652316,323729,64745,824024,291204,45467,44514,2379738,268287
Para,2016,13279177,138068000,708.0,1493.5,0.11199999999999999,246834,290282,0.43799999999999994,2269567,4179698,4113717,71473,301558,406109,449534,413379,811852,655640,458832,310293,178273,88754,34001,69224,289458,392420,432410,405959,813493,644505,444303,305947,177146,94459,44393,548146,58622,7470,131379,36819,5406,6581,792245,173766
Paraiba,2016,6266587,59089000,790.0,1549.0,0.114,117358,130310,0.3156,871295,1936950,2063569,29066,109025,152238,167561,164868,361461,298989,260252,171112,121636,63813,36929,26481,103202,145016,162892,159438,367566,317021,283550,199355,149681,91741,57626,483927,28459,2632,74963,25501,25838,4528,448904,62306
Parana,2016,50484621,401662000,1398.0,2420.5,0.08199999999999999,1055016,1114511,0.36340000000000006,2933387,5499521,5744823,59724,224500,305227,448508,442927,960694,830081,860573,663566,398015,219352,86354,53620,209427,301564,430708,441435,940346,875081,910513,731816,464685,259113,126515,4203635,264684,86261,609331,220001,7889,21858,1101224,278234
Pernambuco,2016,23319650,167290000,872.0,1740.5,0.146,374724,427673,0.41119999999999995,2663942,4512611,4900008,55572,239174,354917,410317,377556,847392,735937,609860,410716,268891,134758,67521,54478,229359,339995,395794,375074,880973,794862,685604,498267,337399,199411,108792,1237421,91615,11446,170087,85657,36214,18197,975136,99703
Piaui,2016,4427865,41406000,747.0,1429.75,0.094,88119,101635,0.3643,790247,1561385,1641091,13824,57989,108381,121174,120118,311877,264211,205910,156851,107193,62430,31427,14841,57217,94038,112723,130389,304232,270237,214526,194046,121318,83458,44066,322487,27410,2373,78460,16017,6456,3369,514885,91123
Rio de Janeiro,2016,98268588,640186000,1429.0,2582.25,0.11699999999999999,1215423,1457004,0.4581,5647508,7910776,8728099,87100,354272,527023,684867,627460,1347181,1249884,1128322,948175,550613,288766,117113,85353,345927,511246,661496,616232,1387862,1357323,1260332,1130533,705285,426835,239675,4304384,143509,16223,324952,282937,37732,38550,889919,157050
Rio Grande do Norte,2016,6544357,59661000,919.0,1705.25,0.142,134950,151236,0.3691,891782,1697146,1778694,20915,87426,124105,149973,152183,339028,260554,239605,146208,99030,49614,28505,20316,84296,114841,142831,149532,338404,272612,258156,167951,118973,68000,42782,510192,31602,3082,79033,26809,23990,4921,407333,56633
Rio Grande do Sul   ,2016,52764585,408645000,1554.0,2556.25,0.08199999999999999,1004092,1061358,0.33759999999999996,2832766,5464063,5821759,46477,200444,321818,432996,406661,963315,775032,798122,750372,457728,222518,88580,46985,196032,304699,414424,398962,965929,782219,857226,835180,529500,311732,178871,4071134,222940,55493,483609,234926,5299,20361,1039618,181090
Rondonia,2016,4075520,39451000,901.0,1788.75,0.079,97214,111081,0.4294,513290,913812,874065,14263,57355,74224,84934,85934,182136,143325,122846,79353,43996,18092,7354,12504,55271,73088,80977,81576,170698,145250,113977,76086,39279,17978,7381,255545,29982,6135,83100,11403,2281,1204,370172,112533
Roraima,2016,835732,11011000,1068.0,2267.75,0.08800000000000001,19633,20321,0.5623,175485,260729,253665,5025,20268,27313,29724,26282,50157,38316,28464,19123,10060,4301,1696,4753,19070,25901,28982,25588,50628,39495,27183,17678,8589,3885,1913,66722,4646,651,23545,4635,963,647,75528,19218
